image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021217616868832.jpeg,1668021218,-178.3931613,0.392387167,139.8584044,-6.688,42.01420468,-93.76707317,340.21,4,2022-11-09-13-13-37-698
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021217980374419.jpeg,1668021218,-179.0238805,-0.333911598,139.9186392,-5.75,42.01420722,-93.76707273,340.205,4,2022-11-09-13-13-38-626
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021218342204791.jpeg,1668021218,-178.0864304,-0.018864808,139.4575491,-5.438,42.01420932,-93.76707278,340.208,4,2022-11-09-13-13-38-425
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021218703881300.jpeg,1668021219,-179.0145851,0.094107789,143.2124724,-4.813,42.01421228,-93.76707239,340.205,4,2022-11-09-13-13-38-786
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021219065742353.jpeg,1668021219,-175.9567336,-0.962062469,144.8848816,-3.25,42.01421435,-93.76707221,340.216,4,2022-11-09-13-13-39-154
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021219427581943.jpeg,1668021220,-174.5488444,-0.489108934,145.3921624,1.25,42.01421733,-93.76706858,340.182,4,2022-11-09-13-13-39-509
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021219789899670.jpeg,1668021220,-177.3993702,-1.144922275,146.9261911,-4.438,42.01421974,-93.76707251,340.205,4,2022-11-09-13-13-39-870
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021220152110321.jpeg,1668021220,-175.491521,-0.618105484,146.5818821,-2.187,42.0142219,-93.76707203,340.201,4,2022-11-09-13-13-40-235
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021220515324261.jpeg,1668021221,-175.6497386,1.446100033,146.1297068,-0.187,42.01422545,-93.76707038,340.202,4,2022-11-09-13-13-40-593
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021220878215586.jpeg,1668021221,-176.9169089,0.727596011,146.4668121,-5.938,42.01422761,-93.76707463,340.21,4,2022-11-09-13-13-40-962
/media/phenobot3/Extreme SSD/under-canopy-images/Test4/enviratron/a1/1668021221242388586.jpeg,1668021221,-176.4637431,0.951048028,146.3166417,-1.687,42.01423035,-93.76707276,340.198,4,2022-11-09-13-13-41-325
