image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933655484807958.jpeg,1667933655.5903857,-178.6844395761092,4.0984142948779825,149.11651759386922,-5.813,42.018103206666666,-93.77303450666666,344.69,4,2022-11-08-12-54-15-590,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933655809754137.jpeg,1667933655.8902857,-178.68446185518133,4.0984505587757445,149.11663835110167,-5.813,42.01810322,-93.773034535,344.688,4,2022-11-08-12-54-15-890,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933656144241927.jpeg,1667933656.2269366,-178.6843473053772,4.098456779859446,149.11607501552928,-5.813,42.01810322,-93.77303453833333,344.686,4,2022-11-08-12-54-16-227,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933656476273067.jpeg,1667933656.55489,-178.68428527846464,4.0984722113253245,149.1157722560935,-5.813,42.01810323666667,-93.77303453833333,344.688,4,2022-11-08-12-54-16-554,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933656809897174.jpeg,1667933656.8884473,-178.68404646390636,4.098737878721133,149.11467424483575,-5.813,42.018103225,-93.773034555,344.691,4,2022-11-08-12-54-16-888,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933657143560206.jpeg,1667933657.22278,-178.6841279652248,4.098302527156384,149.11494702361853,-5.813,42.01810321166667,-93.77303454833333,344.689,4,2022-11-08-12-54-17-222,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933657476500698.jpeg,1667933657.5565858,-178.68392088914266,4.09846446194094,149.11398419842402,-5.875,42.01810320333333,-93.77303455666667,344.688,4,2022-11-08-12-54-17-556,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933657809154779.jpeg,1667933657.880505,-178.67917488119602,4.100481314937884,149.1082785469401,-5.875,42.018103205,-93.77303455666667,344.688,4,2022-11-08-12-54-17-880,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933658142239218.jpeg,1667933658.230343,-178.6770124725218,4.101426203564972,149.10812633033035,-5.875,42.018103198333336,-93.77303457833334,344.689,4,2022-11-08-12-54-18-230,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/r3/1667933658476631916.jpeg,1667933658.5577326,-178.67977010558315,4.098849105370316,149.11280254514543,-5.875,42.01810317666666,-93.77303459833334,344.687,4,2022-11-08-12-54-18-557,
