image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934823509344640.jpeg,1667934823.5960162,-179.76219558443742,-0.19767307564253642,170.3083865072039,-6.25,42.018140003333336,-93.77365925833334,344.306,4,2022-11-08-13-13-43-596,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934823842302576.jpeg,1667934823.932896,-179.76264403708927,-0.1982284719753117,170.3074898216318,-6.25,42.01814001,-93.77365925166667,344.305,4,2022-11-08-13-13-43-932,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934824176756559.jpeg,1667934824.2664542,-179.76304462022338,-0.19883280267174702,170.30642899487256,-6.25,42.018140003333336,-93.77365923166667,344.305,4,2022-11-08-13-13-44-266,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934824510734975.jpeg,1667934824.5862763,-179.7637917766773,-0.19935367729391032,170.3058829572825,-6.25,42.018140003333336,-93.77365925,344.302,4,2022-11-08-13-13-44-586,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934824843046875.jpeg,1667934824.926817,-179.7643276129465,-0.20027227117707663,170.30418394532853,-6.25,42.01813999833333,-93.77365924,344.306,4,2022-11-08-13-13-44-926,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934825177033460.jpeg,1667934825.2660234,-179.76464439035666,-0.20098138022205375,170.3027817820731,-6.25,42.018139993333335,-93.77365924333333,344.308,4,2022-11-08-13-13-45-266,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934825510662733.jpeg,1667934825.5930245,-179.76540364619902,-0.20214327787656935,170.30069850874148,-6.25,42.018139991666665,-93.77365925166667,344.307,4,2022-11-08-13-13-45-593,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934825842565930.jpeg,1667934825.9188135,-179.76585439633567,-0.20269323716632653,170.2997913936714,-6.25,42.018140001666666,-93.773659235,344.306,4,2022-11-08-13-13-45-918,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934826177777645.jpeg,1667934826.2519937,-179.76613014842974,-0.20327705534772608,170.2986430683445,-6.25,42.01813998666667,-93.77365924833333,344.306,4,2022-11-08-13-13-46-252,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934826510773356.jpeg,1667934826.593282,-179.73795483125795,-0.28038661317373365,170.22491735979696,-6.25,42.01813999,-93.773659235,344.305,4,2022-11-08-13-13-46-593,
